City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,basco,20.4487,121.9702,300.04,72,100,8.67,PH,1697570501
281,tolanaro,-25.0319,46.9987,296.19,78,75,6.69,MG,1697570501
282,nelson bay,-32.7167,152.15,290.37,92,93,3.13,AU,1697570501
283,island harbour,50.724,-1.2758,286.49,77,100,6.71,GB,1697570501
284,purwakarta,-6.5569,107.4433,299.47,65,85,1.26,ID,1697570501
285,boyolangu,-8.1181,111.8935,296.29,95,99,1.53,ID,1697570502
286,vicuna,-30.0319,-70.7081,301.91,29,12,4.08,CL,1697570502
287,vilhena,-12.7406,-60.1458,304.11,44,47,3.71,BR,1697570502
288,ende,-8.8432,121.6623,297.31,82,36,1.21,ID,1697570502
289,san fernando,15.0286,120.6898,299.0,88,16,1.93,PH,1697570502
290,greenville,35.6127,-77.3663,293.23,52,40,2.06,US,1697570439
291,montevallo,33.1007,-86.8642,293.87,54,0,1.54,US,1697570502
292,torghay,49.6339,63.4981,284.54,38,0,4.0,KZ,1697570503
293,dompu,-8.5356,118.4622,296.15,91,12,1.22,ID,1697570503
294,launceston,-41.45,147.1667,280.26,100,10,0.0,AU,1697570503
295,bulolo,-7.2,146.65,293.61,97,100,0.76,PG,1697570503
296,clinton,42.587,-82.9199,285.34,72,0,1.79,US,1697570503
297,carnarvon,-24.8667,113.6333,295.61,51,0,8.48,AU,1697570503
298,boston,42.3584,-71.0598,289.07,78,75,3.6,US,1697570139
299,vilyuchinsk,52.9306,158.4028,280.33,84,97,0.89,RU,1697570504
300,sabang,5.8933,95.3214,300.61,73,100,7.15,ID,1697570504
301,port elizabeth,-33.918,25.5701,290.55,91,0,5.14,ZA,1697570231
302,san julian,21.0167,-102.1667,294.52,27,92,3.14,MX,1697570504
303,soe,-9.8607,124.284,290.4,79,7,1.93,ID,1697570504
304,kloulklubed,7.0419,134.2556,301.03,76,6,1.49,PW,1697570504
305,berlin,52.5244,13.4105,282.58,80,75,1.03,DE,1697569773
306,crane,31.3974,-102.3501,298.81,22,0,7.18,US,1697570505
307,tan-tan,28.438,-11.1032,297.03,63,0,3.35,MA,1697570505
308,izluchinsk,60.9794,76.9242,283.15,96,78,4.09,RU,1697570362
309,usogorsk,63.4106,48.6872,276.3,87,100,3.99,RU,1697570505
310,kanniyakumari,8.0833,77.5667,299.26,86,100,4.23,IN,1697570505
311,mazagao,-0.115,-51.2894,308.18,37,24,2.7,BR,1697570505
312,kimovsk,53.9716,38.5319,276.94,74,98,7.9,RU,1697570505
313,nagato,34.3833,131.2,289.72,70,0,1.52,JP,1697570506
314,ketchikan,55.3422,-131.6461,284.14,87,100,7.72,US,1697570506
315,emerald,-23.5333,148.1667,292.23,74,62,5.96,AU,1697570491
316,ballycastle,55.2044,-6.243,285.12,76,100,10.16,GB,1697570506
317,barcelos,41.5388,-8.6151,293.23,95,100,7.63,PT,1697570506
318,nizhnyaya poyma,56.1622,97.1933,277.4,86,95,4.48,RU,1697570506
319,lepsy,46.235,78.9456,284.06,48,0,9.1,KZ,1697570507
320,altamira,-3.2033,-52.2064,311.01,28,81,0.85,BR,1697570507
321,amga,60.8953,131.9608,269.81,52,100,3.13,RU,1697570507
322,igrim,63.1906,64.4162,283.16,85,100,4.02,RU,1697570507
323,lodwar,3.1191,35.5973,302.92,50,80,3.86,KE,1697570507
324,chimoio,-19.1164,33.4833,295.07,94,40,1.8,MZ,1697570507
325,pitoa,9.3833,13.5333,300.01,68,85,1.58,CM,1697570508
326,manta,-0.95,-80.7333,303.03,66,75,3.09,EC,1697570508
327,marsh harbour,26.5412,-77.0636,297.63,52,28,4.15,BS,1697570508
328,labuan,5.2767,115.2417,301.35,94,20,0.51,MY,1697570509
329,mount darwin,-16.7725,31.5838,294.16,79,81,2.58,ZW,1697570509
330,grand falls-windsor,48.9332,-55.6649,278.99,82,100,0.45,CA,1697570509
